,chart
0,pooja07: whatwhat
1,pooja07: Morning also u won't talk uh
2,Ram Tej: Booooo
3,Ram Tej: Hi
4,Ram Tej: I am awake only
5,Ram Tej: What are j doing
6,pooja07: cryI'm missing you
7,Ram Tej: Who are u texting in the morning a
8,Ram Tej: I miss u so much booooo
9,Ram Tej: heart
10,Ram Tej: kiss
11,pooja07: U only
12,pooja07: Call na
13,Ram Tej: I love you
14,pooja07: I wanna talk to u
15,Ram Tej: Now
16,pooja07: I love you too
17,pooja07: Please boo
18,Ram Tej: Hello
19,pooja07: My dad is here
20,Ram Tej: Then text baby
21,Ram Tej: Text
22,Ram Tej: What are you doing
23,pooja07: Booooo
24,Ram Tej: What is uncle dosing
25,Ram Tej: Doing
26,pooja07: media
27,Ram Tej: What brake bast
28,Ram Tej: I love you
29,Ram Tej: Ok
30,Ram Tej: Talk to him
31,Ram Tej: I want to talk to u
32,Ram Tej: sadsadsadsad
33,pooja07: I love you
34,pooja07: heart
35,Ram Tej: Atleast hear your voice on call
36,Ram Tej: Just stay on the call
37,pooja07: I'll never leave you or cheat on you
38,Ram Tej: I am a rude ass
39,pooja07: U should also promise
40,Ram Tej: I was so rude to u bo
41,pooja07: I love u
42,pooja07: It's ok
43,pooja07: I'm happy u realized
44,pooja07: smile
45,Ram Tej: I would never never never cheat on your bo
46,pooja07: media
47,Ram Tej: I am so sorry
48,Ram Tej: U know what
49,pooja07: It's ok
50,Ram Tej: U deserve a clap
51,pooja07: lol
52,Ram Tej: clap
53,Ram Tej: I live you
54,Ram Tej: I love you
55,Ram Tej: love
56,Ram Tej: heart
57,Ram Tej: kiss
58,Ram Tej: kiss
59,Ram Tej: kiss
60,Ram Tej: kiss
61,Ram Tej: kiss
62,Ram Tej: kiss
63,Ram Tej: kiss
64,Ram Tej: kiss
65,Ram Tej: kiss
66,Ram Tej: kiss
67,Ram Tej: kiss
68,Ram Tej: kiss
69,Ram Tej: kiss
70,Ram Tej: sad
71,Ram Tej: kisskiss
72,Ram Tej: kisskiss
73,Ram Tej: kiss
74,Ram Tej: kiss
75,Ram Tej: kiss
76,Ram Tej: kiss
77,Ram Tej: kiss
78,Ram Tej: kiss
79,Ram Tej: kiss
80,Ram Tej: kiss
81,Ram Tej: kiss
82,Ram Tej: kiss
83,Ram Tej: kiss
84,Ram Tej: kisskiss
85,Ram Tej: kisskiss
86,Ram Tej: kisskiss
87,Ram Tej: kisskiss
88,Ram Tej: kisskiss
89,Ram Tej: kisskiss
90,Ram Tej: kisskiss
91,Ram Tej: kisskiss
92,Ram Tej: kisskiss
93,Ram Tej: kisskiss
94,Ram Tej: kisskiss
95,Ram Tej: kisskiss
96,Ram Tej: kisskiss
97,Ram Tej: kisskiss
98,Ram Tej: kisskiss
99,Ram Tej: kisskiss
100,Ram Tej: kiss
101,Ram Tej: kisskisskiss
102,Ram Tej: kiss
103,Ram Tej: kiss
104,Ram Tej: kiss
105,Ram Tej: kiss
106,Ram Tej: kiss
107,Ram Tej: kiss
108,Ram Tej: kiss
109,Ram Tej: kiss
110,Ram Tej: kiss
111,Ram Tej: kiss
112,Ram Tej: kiss
113,Ram Tej: kiss
114,Ram Tej: kiss
115,pooja07: what
116,Ram Tej: kiss
117,Ram Tej: kiss
118,Ram Tej: kiss
119,Ram Tej: kiss
120,Ram Tej: kiss
121,Ram Tej: kiss
122,Ram Tej: kiss
123,Ram Tej: kiss
124,Ram Tej: kiss
125,Ram Tej: kiss
126,Ram Tej: kiss
127,Ram Tej: kiss
128,Ram Tej: kiss
129,Ram Tej: kiss
130,Ram Tej: kisslove
131,Ram Tej: love
132,Ram Tej: love
133,Ram Tej: loveloveheart
134,pooja07: Stop spamming
135,Ram Tej: heart
136,Ram Tej: heart
137,Ram Tej: heart
138,Ram Tej: heart
139,Ram Tej: heart
140,Ram Tej: heart
141,Ram Tej: heart
142,Ram Tej: heart
143,Ram Tej: heart
144,Ram Tej: heart
145,Ram Tej: heart
146,pooja07: heart
147,Ram Tej: heartheartheart
148,Ram Tej: heart
149,Ram Tej: heart
150,Ram Tej: heart
151,Ram Tej: heart
152,Ram Tej: heart
153,Ram Tej: heartheart
154,Ram Tej: heart
155,pooja07: shyshyshyshy
156,Ram Tej: heartheart
157,Ram Tej: heartheart
158,Ram Tej: heart
159,Ram Tej: heart
160,Ram Tej: heart
161,pooja07: Stop
162,Ram Tej: heart
163,Ram Tej: heart
164,Ram Tej: heart
165,Ram Tej: heartkiss
166,Ram Tej: kisskiss
167,Ram Tej: kiss
168,Ram Tej: kisskisskiss
169,Ram Tej: kiss
170,Ram Tej: kiss
171,Ram Tej: kiss
172,Ram Tej: kiss
173,Ram Tej: kiss
174,Ram Tej: kiss
175,Ram Tej: kiss
176,Ram Tej: kiss
177,Ram Tej: kiss
178,Ram Tej: kiss
179,Ram Tej: kiss
180,Ram Tej: kiss
181,pooja07: smile
182,Ram Tej: kiss
183,Ram Tej: kiss
184,Ram Tej: kiss
185,Ram Tej: kiss
186,Ram Tej: kiss
187,Ram Tej: kiss
188,Ram Tej: kisskisskisskiss
189,Ram Tej: kiss
190,Ram Tej: kiss
191,Ram Tej: kiss
192,Ram Tej: kiss
193,Ram Tej: kiss
194,Ram Tej: kiss
195,Ram Tej: kiss
196,pooja07: Aret
197,Ram Tej: kiss
198,Ram Tej: kisskiss
199,Ram Tej: kisskisskisskiss
200,Ram Tej: kisskiss
201,pooja07: Jakku
202,Ram Tej: kissclapclapclap
203,Ram Tej: clapclapkiss
204,Ram Tej: kiss
205,Ram Tej: kiss
206,Ram Tej: kiss
207,Ram Tej: kiss
208,Ram Tej: kiss
209,Ram Tej: kiss
210,Ram Tej: kiss
211,Ram Tej: kiss
212,Ram Tej: kisskisskiss
213,Ram Tej: kiss
214,Ram Tej: kiss
215,Ram Tej: kiss
216,Ram Tej: kiss
217,Ram Tej: kisskisskiss
218,Ram Tej: kiss
219,Ram Tej: kiss
220,Ram Tej: kisskisskiss
221,Ram Tej: kiss
222,Ram Tej: kiss
223,Ram Tej: kiss
224,Ram Tej: kiss
225,Ram Tej: kisskisskiss
226,Ram Tej: kiss
227,Ram Tej: kiss
228,Ram Tej: kiss
229,Ram Tej: clap
230,Ram Tej: kiss
231,Ram Tej: kiss
232,Ram Tej: kiss
233,pooja07: media
234,Ram Tej: kiss
235,Ram Tej: kiss
236,Ram Tej: kiss
237,Ram Tej: kiss
238,Ram Tej: kiss
239,Ram Tej: kiss
240,Ram Tej: kisskisskisskiss
241,Ram Tej: kiss
242,Ram Tej: kiss
243,Ram Tej: kisskiss
244,Ram Tej: kiss
245,Ram Tej: kiss
246,Ram Tej: kiss
247,Ram Tej: kiss
248,Ram Tej: kisskiss
249,Ram Tej: kisskisskiss
250,Ram Tej: clapclapclap
251,Ram Tej: clap
252,Ram Tej: clap
253,Ram Tej: clap
254,Ram Tej: kiss
255,Ram Tej: kiss
256,Ram Tej: kiss
257,Ram Tej: kiss
258,pooja07: Rey
259,Ram Tej: kiss
260,Ram Tej: kiss
261,Ram Tej: kiss
262,Ram Tej: kiss
263,Ram Tej: kiss
264,pooja07: Rey
265,Ram Tej: kisskiss
266,Ram Tej: kiss
267,pooja07: Ram
268,Ram Tej: kisskiss
269,Ram Tej: I miss u so much
270,Ram Tej: heart
271,Ram Tej: sad
272,pooja07: I'm missing you a lot
273,pooja07: Don't cry
274,Ram Tej: Be with me
275,pooja07: Ei
276,pooja07: Jakka ram tej
277,pooja07: media
278,Ram Tej: I don't care u should be always beside me after my education I will tie u to my hand and sit of and be like u are locked with handcuffs and with tali now no moving an inch away we will poop work and build a house where there are 2 shit pots side by side so we can shit at a time and the dining hall since we both together have 1 hand each we will feed u will feed with your left since your lefty and I and righty. And while sleeping no need any thing u will be in my arms locked and safe I love u and this is want my future should be like I want it badly
279,Ram Tej: kiss
280,Ram Tej: heart
281,pooja07: lollollollolheart
282,pooja07: I love you so much
283,pooja07: I love you so so sooooo much
284,Ram Tej: I love u bo
285,Ram Tej: Bolo
286,Ram Tej: Why
287,Ram Tej: Is my msg funny
288,Ram Tej: And no work
289,Ram Tej: Just u and me
290,Ram Tej: All food full money
291,Ram Tej: Hello
292,Ram Tej: Come on don't go
293,Ram Tej: Ok
294,Ram Tej: Take your time my wife
295,Ram Tej: I love you
296,pooja07: Hi
297,pooja07: I'm here
298,pooja07: Was oiling
299, pooja07: Booooo
300, pooja07: Booi moooi
301, pooja07: lollollol
302, Ram Tej: Bolo bo
303, Ram Tej: I am not able to sleep
304, pooja07: Why booo
305, pooja07: Read something
306, pooja07: Ei
307, pooja07: Blue ticker
308, Ram Tej: Bolo
309, pooja07: cry
310, Ram Tej: Sorry
311, pooja07: heartI love you
312, Ram Tej: I am texting Deepanshu what all he needs to open an ac
313, Ram Tej: I love you bro
314, pooja07: Ooh
315, Ram Tej: Boooo
316, pooja07: Bro ah
317, pooja07: silentsilentsilent
318, Ram Tej: Bo it came bro
319, pooja07: cry
320, pooja07: crycrywaaaa
321, Ram Tej: What to do auto correct
322, pooja07: lol
323,Ram Tej: Bo
324,Ram Tej: What are u doing
325,Ram Tej: I am on my bed
326,pooja07: Today is krishnajanmashtami
327,pooja07: So mom is still working on puja
328,Ram Tej: No
329,Ram Tej: I feel so. Lonly booooo
330,pooja07: Call me
331,pooja07: Jakku
332,pooja07: Missed voice call
333,Ram Tej: Bo
334,Ram Tej: No
335,pooja07: Boo
336,pooja07: Ok
337,"pooja07: Ur wish ,"
338,Ram Tej: I am so sad
339,pooja07: Why boo
340,pooja07: Wanna play pubg?
341,Ram Tej: No
342,pooja07: Why
343,pooja07: Do you wanna build a snowman???
344,Ram Tej: No
345,Ram Tej: I am sad
346,pooja07: media
347,Ram Tej: Bo I will call u wait
348,pooja07: awawawaw
349,pooja07: Whyyyy
350,pooja07: Hi
351,Ram Tej: Bo
352,Ram Tej: Boooooo should I tell u some thing
353,Ram Tej: I still did not sleep
354,Ram Tej: I was awake only
355,Ram Tej: My feeling of sad is gone but
356,Ram Tej: I am good now just took bath and will try sleeping now
