Symbol,link,MARKETSMOJO,ETNOW
ACC,https://kite.zerodha.com/chart/web/ciq/NSE/ACC/5633,https://www.marketsmojo.com/Stocks?StockId=229887&Exchange=0,https://economictimes.indiatimes.com/acc-ltd/stocks/companyid-6.cms
ADANIENT,https://kite.zerodha.com/chart/web/ciq/NSE/ADANIENT/6401,https://www.marketsmojo.com/Stocks?StockId=789039&Exchange=0,https://economictimes.indiatimes.com/adani-enterprises-ltd/stocks/companyid-9074.cms
ADANIPORTS,https://kite.zerodha.com/chart/web/ciq/NSE/ADANIPORTS/3861249,https://www.marketsmojo.com/Stocks?StockId=716033&Exchange=0,https://economictimes.indiatimes.com/adani-ports-special-economic-zone-ltd/stocks/companyid-20316.cms
ADANIPOWER,https://kite.zerodha.com/chart/web/ciq/NSE/ADANIPOWER/4451329,https://www.marketsmojo.com/Stocks?StockId=962209&Exchange=0,https://economictimes.indiatimes.com/adani-power-ltd/stocks/companyid-23479.cms
AMARAJABAT,https://kite.zerodha.com/chart/web/ciq/NSE/AMARAJABAT/25601,https://www.marketsmojo.com/Stocks?StockId=869476&Exchange=0,https://economictimes.indiatimes.com/amara-raja-batteries-ltd/stocks/companyid-12713.cms
AMBUJACEM,https://kite.zerodha.com/chart/web/ciq/NSE/AMBUJACEM/325121,https://www.marketsmojo.com/Stocks?StockId=690246&Exchange=0,https://economictimes.indiatimes.com/ambuja-cements-ltd/stocks/companyid-13643.cms
APOLLOHOSP,https://kite.zerodha.com/chart/web/ciq/NSE/APOLLOHOSP/40193,https://www.marketsmojo.com/Stocks?StockId=423292&Exchange=0,https://economictimes.indiatimes.com/apollo-hospitals-enterprise-ltd/stocks/companyid-62.cms
APOLLOTYRE,https://kite.zerodha.com/chart/web/ciq/NSE/APOLLOTYRE/41729,https://www.marketsmojo.com/Stocks?StockId=462367&Exchange=0,https://economictimes.indiatimes.com/apollo-tyres-ltd/stocks/companyid-63.cms
ASHOKLEY,https://kite.zerodha.com/chart/web/ciq/NSE/ASHOKLEY/54273,https://www.marketsmojo.com/Stocks?StockId=972470&Exchange=0,https://economictimes.indiatimes.com/ashok-leyland-ltd/stocks/companyid-14041.cms
ASIANPAINT,https://kite.zerodha.com/chart/web/ciq/NSE/ASIANPAINT/60417,https://www.marketsmojo.com/Stocks?StockId=244442&Exchange=0,https://economictimes.indiatimes.com/asian-paints-ltd/stocks/companyid-14034.cms
AUROPHARMA,https://kite.zerodha.com/chart/web/ciq/NSE/AUROPHARMA/70401,https://www.marketsmojo.com/Stocks?StockId=164981&Exchange=0,https://economictimes.indiatimes.com/aurobindo-pharma-ltd/stocks/companyid-8279.cms
AXISBANK,https://kite.zerodha.com/chart/web/ciq/NSE/AXISBANK/1510401,https://www.marketsmojo.com/Stocks?StockId=112501&Exchange=0,https://economictimes.indiatimes.com/axis-bank-ltd/stocks/companyid-9175.cms
BAJAJ-AUTO,https://kite.zerodha.com/chart/web/ciq/NSE/BAJAJ-AUTO/4267265,https://www.marketsmojo.com/Stocks?StockId=992451&Exchange=0,https://economictimes.indiatimes.com/bajaj-auto-ltd/stocks/companyid-21430.cms
BAJAJFINSV,https://kite.zerodha.com/chart/web/ciq/NSE/BAJAJFINSV/4268801,https://www.marketsmojo.com/Stocks?StockId=822285&Exchange=0,https://economictimes.indiatimes.com/bajaj-finserv-ltd/stocks/companyid-21426.cms
BAJFINANCE,https://kite.zerodha.com/chart/web/ciq/NSE/BAJFINANCE/81153,https://www.marketsmojo.com/Stocks?StockId=959222&Exchange=0,https://economictimes.indiatimes.com/bajaj-finance-ltd/stocks/companyid-11260.cms
BALKRISIND,https://kite.zerodha.com/chart/web/ciq/NSE/BALKRISIND/85761,https://www.marketsmojo.com/Stocks?StockId=537216&Exchange=0,https://economictimes.indiatimes.com/balkrishna-industries-ltd/stocks/companyid-14013.cms
BANDHANBNK,https://kite.zerodha.com/chart/web/ciq/NSE/BANDHANBNK/579329,https://www.marketsmojo.com/Stocks?StockId=1000060&Exchange=0,https://economictimes.indiatimes.com/bandhan-bank-ltd/stocks/companyid-67665.cms
BANKBARODA,https://kite.zerodha.com/chart/web/ciq/NSE/BANKBARODA/1195009,https://www.marketsmojo.com/Stocks?StockId=824055&Exchange=0,https://economictimes.indiatimes.com/bank-of-baroda/stocks/companyid-12040.cms
BATAINDIA,https://kite.zerodha.com/chart/web/ciq/NSE/BATAINDIA/94977,https://www.marketsmojo.com/Stocks?StockId=919264&Exchange=0,https://economictimes.indiatimes.com/bata-india-ltd/stocks/companyid-13974.cms
BEL,https://kite.zerodha.com/chart/web/ciq/NSE/BEL/98049,https://www.marketsmojo.com/Stocks?StockId=363433&Exchange=0,https://economictimes.indiatimes.com/bharat-electronics-ltd/stocks/companyid-11945.cms
BERGEPAINT,https://kite.zerodha.com/chart/web/ciq/NSE/BERGEPAINT/103425,https://www.marketsmojo.com/Stocks?StockId=807018&Exchange=0,https://economictimes.indiatimes.com/berger-paints-india-ltd/stocks/companyid-13971.cms
BHARATFORG,https://kite.zerodha.com/chart/web/ciq/NSE/BHARATFORG/108033,https://www.marketsmojo.com/Stocks?StockId=880888&Exchange=0,https://economictimes.indiatimes.com/bharat-forge-ltd/stocks/companyid-13958.cms
BHARTIARTL,https://kite.zerodha.com/chart/web/ciq/NSE/BHARTIARTL/2714625,https://www.marketsmojo.com/Stocks?StockId=468567&Exchange=0,https://economictimes.indiatimes.com/bharti-airtel-ltd/stocks/companyid-2718.cms
BHEL,https://kite.zerodha.com/chart/web/ciq/NSE/BHEL/112129,https://www.marketsmojo.com/Stocks?StockId=880342&Exchange=0,https://economictimes.indiatimes.com/bharat-heavy-electricals-ltd/stocks/companyid-11831.cms
BIOCON,https://kite.zerodha.com/chart/web/ciq/NSE/BIOCON/2911489,https://www.marketsmojo.com/Stocks?StockId=363433&Exchange=0,https://economictimes.indiatimes.com/biocon-ltd/stocks/companyid-2082.cms
BOSCHLTD,https://kite.zerodha.com/chart/web/ciq/NSE/BOSCHLTD/558337,https://www.marketsmojo.com/Stocks?StockId=180260&Exchange=0,https://economictimes.indiatimes.com/bosch-ltd/stocks/companyid-11911.cms
BPCL,https://kite.zerodha.com/chart/web/ciq/NSE/BPCL/134657,https://www.marketsmojo.com/Stocks?StockId=159344&Exchange=0,https://economictimes.indiatimes.com/bharat-petroleum-corporation-ltd/stocks/companyid-11941.cms
